,Placa,MES_1,MES_2,MES_3,MES_4,MES_ATUAL,RESULTADO
394,NVIDIA GeForce RTX 3050 Ti Laptop GPU,1.36%,1.38%,1.29%,1.20%,1.26%,+0.06%
395,NVIDIA GeForce RTX 4090,0.46%,0.47%,0.60%,0.72%,0.85%,+0.13%
396,AMD Radeon RX 580,1.18%,1.17%,1.11%,1.16%,1.12%,-0.04%
397,AMD Radeon Vega 8 Graphics,0.91%,0.89%,0.83%,0.86%,0.78%,-0.08%
398,NVIDIA GeForce RTX 3070 Laptop GPU,0.94%,0.95%,0.92%,0.93%,1.00%,+0.07%
399,AMD Radeon RX 6700 XT,0.57%,0.56%,0.61%,0.69%,0.74%,+0.05%
400,NVIDIA GeForce RTX 3080 Ti,0.80%,0.78%,0.83%,0.92%,0.95%,+0.03%
401,NVIDIA GeForce GTX 1650 SUPER,0.83%,0.80%,0.77%,0.73%,0.69%,-0.04%
402,NVIDIA GeForce RTX 3050 Laptop GPU,0.99%,1.02%,0.91%,0.81%,0.87%,+0.06%
403,NVIDIA GeForce GTX 970,0.70%,0.66%,0.65%,0.71%,0.65%,-0.06%
404,AMD Radeon RX 570,0.94%,0.91%,0.86%,0.87%,0.82%,-0.05%
405,NVIDIA GeForce GT 1030,0.74%,0.71%,0.68%,0.66%,0.62%,-0.04%
406,AMD Radeon RX 5700 XT,0.69%,0.70%,0.69%,0.78%,0.77%,-0.01%
407,NVIDIA GeForce GTX 960,0.68%,0.64%,0.63%,0.62%,0.60%,-0.02%
408,NVIDIA GeForce GTX 1080 Ti,0.67%,0.65%,0.66%,0.73%,0.71%,-0.02%
409,NVIDIA GeForce RTX 4080,0.31%,0.35%,0.43%,0.51%,0.58%,+0.07%
410,NVIDIA GeForce RTX 3090,0.54%,0.53%,0.56%,0.66%,0.67%,+0.01%
411,NVIDIA GeForce RTX 2080,0.53%,0.52%,0.51%,0.55%,0.54%,-0.01%
412,AMD Radeon RX 6600,0.52%,0.52%,0.56%,0.60%,0.62%,+0.02%
413,NVIDIA GeForce RTX 2080 Ti,0.44%,0.42%,0.45%,0.49%,0.50%,+0.01%
414,NVIDIA GeForce RTX 2080 SUPER,0.59%,0.58%,0.57%,0.62%,0.60%,-0.02%
415,AMD Radeon(TM) Graphics,-,-,0.31%,0.39%,0.47%,+0.08%
416,Intel UHD Graphics 620,0.60%,0.62%,0.59%,0.65%,0.59%,-0.06%
417,AMD Radeon RX 580 2048SP,0.33%,0.34%,0.37%,0.39%,0.44%,+0.05%
418,NVIDIA GeForce GTX 750 Ti,0.68%,0.63%,0.62%,0.61%,0.56%,-0.05%
419,NVIDIA GeForce RTX 4050 Laptop GPU,-,-,-,-,0.41%,+0.41%
420,NVIDIA GeForce GTX 1070 Ti,0.54%,0.52%,0.51%,0.52%,0.52%,0.00%
421,AMD Radeon RX 550,0.47%,0.44%,0.42%,0.42%,0.39%,-0.03%
422,AMD Radeon RX 6600 XT,0.45%,0.45%,0.45%,0.48%,0.49%,+0.01%
423,Intel HD Graphics 520,0.36%,0.35%,0.35%,0.40%,0.36%,-0.04%
